"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumSqDev"
"277",77,1000,0.1,0.8,1,-0.9525,0.9525,39666.5,0.0175482577086989,0,15960704
"278",78,1000,0.1,0.8,0,-0.045,0.045,34234.3125,0.0673966796185094,0,8096530
"279",79,1000,0.1,0.8,0,-0.4565,0.4565,35472.75,0.0814016907553859,0,8554397
"280",80,1000,0.1,0.8,1,-0.9935,0.9935,40000,0,0,23567514
"281",81,1000,0.1,0.8,0,-0.336,0.336,31887.328125,0.0827560240963855,0,7928157
"282",82,1000,0.1,0.8,0,-0.3625,0.3625,35493.9375,0.0539094650205761,0,9315285
"283",83,1000,0.1,0.8,0,-0.312,0.312,31486.8671875,0.0692959682345754,0,7393371
"284",84,1000,0.1,0.8,0,0.2235,0.2235,33122.75,0.0829422117923145,0,7618608
"285",85,1000,0.1,0.8,0,-0.336,0.336,39970,0.0025,0,7517318
"286",86,1000,0.1,0.8,0,-0.61,0.61,36066.625,0.0614011360562618,0.05,10177541
"287",87,1000,0.1,0.8,0,-0.0725,0.0725,40000,0,0.05,12654373
"288",88,1000,0.1,0.8,0,0.224,0.224,35744.3125,0.0450388972294254,0,7712661
"289",89,1000,0.1,0.8,1,-0.9655,0.9655,39766.75,0.0140070035017509,0,17451632
"290",90,1000,0.1,0.8,0,-0.171,0.171,38553,0.033017660609163,0,6209275
"291",91,1000,0.1,0.8,0,0.0365,0.0365,34915.71875,0.0779292684614852,0,9946360
"292",92,1000,0.1,0.8,0,-0.1365,0.1365,34599.34375,0.0688309878779434,0,6727923
"293",93,1000,0.1,0.8,0,0.0665,0.0665,33725.25,0.0945629829162827,0,6778433
"294",94,1000,0.1,0.8,1,-0.969,0.969,39862.25,0.0085,0,21056098
"295",95,1000,0.1,0.8,0,-0.0659999999999999,0.0659999999999999,34523.09375,0.0572583479789104,0.05,6480319
"296",96,1000,0.1,0.8,1,-0.9915,0.9915,40000,0,0,24562812
